0.015,1.0858e+06,68.707,700.32,2.1605e-07,4.1222,0,0.4235,0.5765,3.4442e-21
0.015,1.0856e+06,68.714,700.31,2.5825e-07,4.1217,0,0.4235,0.5765,3.2926e-21
0.015,1.0855e+06,68.721,700.3,0,4.1211,0,0.4235,0.5765,3.1507e-21
0.015,1.0853e+06,68.728,700.29,7.7459e-09,4.1206,0,0.4235,0.5765,3.0191e-21
0.015,1.0852e+06,68.737,700.29,2.6008e-07,4.1201,0,0.4235,0.5765,2.9314e-21
0.015001,1.085e+06,68.746,700.28,0,4.1195,0,0.4235,0.5765,2.8139e-21
0.015001,1.0849e+06,68.755,700.27,0,4.119,0,0.4235,0.5765,2.6894e-21
0.015001,1.0847e+06,68.765,700.26,0,4.1184,0,0.4235,0.5765,2.5763e-21
0.015001,1.0845e+06,68.776,700.25,0,4.1178,0,0.4235,0.5765,2.47e-21
0.015001,1.0844e+06,68.787,700.25,0,4.1172,0,0.4235,0.5765,2.379e-21
0.015001,1.0842e+06,68.798,700.24,0,4.1166,0,0.4235,0.5765,2.2852e-21
0.015001,1.084e+06,68.809,700.23,0,4.116,0,0.4235,0.5765,2.193e-21
0.015001,1.0839e+06,68.821,700.22,0,4.1154,0,0.4235,0.5765,2.104e-21
0.015001,1.0837e+06,68.833,700.21,0,4.1148,0,0.4235,0.5765,2.0185e-21
0.015001,1.0835e+06,68.845,700.2,0,4.1142,0,0.4235,0.5765,1.936e-21
0.015002,1.0833e+06,68.858,700.2,0,4.1135,0,0.4235,0.5765,1.8564e-21
0.015002,1.0831e+06,68.87,700.19,0,4.1129,0,0.4235,0.5765,1.7795e-21
0.015002,1.0829e+06,68.883,700.18,0,4.1122,0,0.4235,0.5765,1.7054e-21
0.015002,1.0827e+06,68.895,700.17,5.5246e-07,4.1115,0,0.4235,0.5765,1.6495e-21
0.015002,1.0826e+06,68.908,700.16,0,4.1108,0,0.4235,0.5765,1.589e-21
0.015002,1.0824e+06,68.921,700.15,2.6918e-09,4.1102,0,0.4235,0.5765,1.5254e-21
0.015002,1.0822e+06,68.934,700.14,0,4.1095,0,0.4235,0.5765,1.4634e-21
0.015002,1.082e+06,68.947,700.14,0,4.1088,0,0.4235,0.5765,1.4013e-21
0.015002,1.0818e+06,68.96,700.13,0,4.1081,0,0.4235,0.5765,1.3399e-21
0.015003,1.0816e+06,68.973,700.12,0,4.1073,4.0337e-52,0.4235,0.5765,1.2803e-21
0.015003,1.0814e+06,68.986,700.11,0,4.1066,1.0139e-51,0.4235,0.5765,1.221e-21
0.015003,1.0812e+06,69,700.1,0,4.1059,0,0.4235,0.5765,1.1629e-21
0.015003,1.081e+06,69.013,700.09,0,4.1051,0,0.4235,0.5765,1.106e-21
0.015003,1.0807e+06,69.027,700.09,0,4.1044,0,0.4235,0.5765,1.0513e-21
0.015003,1.0805e+06,69.04,700.08,0,4.1037,0,0.4235,0.5765,9.9896e-22
0.015003,1.0803e+06,69.054,700.07,0,4.1029,0,0.4235,0.5765,9.4903e-22
0.015003,1.0801e+06,69.068,700.06,0,4.1021,0,0.4235,0.5765,9.0144e-22
0.015003,1.0799e+06,69.082,700.06,0,4.1014,0,0.4235,0.5765,8.5855e-22
0.015003,1.0797e+06,69.096,700.05,0,4.1006,0,0.4235,0.5765,8.1852e-22
0.015003,1.0795e+06,69.11,700.04,4.1235e-08,4.0998,0,0.4235,0.5765,8.0995e-22
0.015004,1.0792e+06,69.124,700.03,0,4.099,0,0.4235,0.5765,7.6768e-22
0.015004,1.079e+06,69.138,700.02,1.4102e-07,4.0982,0,0.4235,0.5765,7.5929e-22
0.015004,1.0788e+06,69.152,700.02,1.356e-08,4.0974,6.2129e-51,0.4235,0.5765,7.5026e-22
0.015004,1.0786e+06,69.167,700.01,0,4.0966,0,0.4235,0.5765,7.2153e-22
0.015004,1.0784e+06,69.181,700,0,4.0958,0,0.4235,0.5765,6.8751e-22
0.015004,1.0781e+06,69.196,700,0,4.095,0,0.4235,0.5765,6.5287e-22
0.015004,1.0779e+06,69.21,699.99,0,4.0942,0,0.4235,0.5765,6.1912e-22
0.015004,1.0777e+06,69.224,699.98,0,4.0933,0,0.4235,0.5765,6.0407e-22
0.015004,1.0774e+06,69.239,699.97,0,4.0925,0,0.4235,0.5765,5.7823e-22
0.015005,1.0772e+06,69.254,699.97,2.3304e-07,4.0916,0,0.4235,0.5765,5.8133e-22
0.015005,1.077e+06,69.268,699.96,0,4.0908,0,0.4235,0.5765,5.6118e-22
0.015005,1.0767e+06,69.283,699.95,0,4.0899,0,0.4235,0.5765,5.3433e-22
0.015005,1.0765e+06,69.298,699.95,1.1249e-08,4.0891,0,0.4235,0.5765,5.4038e-22
0.015005,1.0763e+06,69.313,699.94,0,4.0882,1.8288e-50,0.4235,0.5765,5.198e-22
0.015005,1.076e+06,69.328,699.93,1.9635e-08,4.0873,0,0.4235,0.5765,5.3229e-22
0.015005,1.0758e+06,69.343,699.93,0,4.0864,0,0.4235,0.5765,5.1215e-22
0.015005,1.0755e+06,69.358,699.92,0,4.0855,0,0.4235,0.5765,4.8153e-22
0.015005,1.0753e+06,69.373,699.91,0,4.0846,0,0.4235,0.5765,4.555e-22
0.015005,1.075e+06,69.388,699.91,0,4.0837,6.917e-49,0.4235,0.5765,4.3185e-22
0.015005,1.0748e+06,69.403,699.9,9.0208e-08,4.0828,0,0.4235,0.5765,4.0502e-22
0.015006,1.0745e+06,69.419,699.89,0,4.0819,0,0.4235,0.5765,3.8705e-22
